year,district,household,pop,sex_ratio,district_area,density,in,out,family_pop,social_rate,growth,g_ave,g_rate,marry_rate
2017,八里,14323,38177,0.9931606975044376,39.4933,975,97,153,2.665433219297633,-56,316,38335.0,0.0082431198643537,5.713540308
2017,北投,96433,257384,0.9323848492811292,56.8216,4513,9674,11411,2.6690448290522952,-1737,-928,256920.0,-0.0036120193056204,6.05
2017,南港,46800,122444,0.9571312117385676,21.8424,5593,5828,6775,2.6163247863247863,-947,-289,122299.5,-0.0023630513616163,6.61
2017,土城,86539,238491,0.9755224770756192,29.5578,8054,681,682,2.755878852309364,-1,-424,238279.0,-0.0017794266385203,6.672723877
2017,坪林,2519,6530,1.2493971753358597,170.835,38,19,24,2.59229853116316,-5,-2,6529.0,-0.0003063256241384,2.908311649
2017,士林,106819,289916,0.9334951715307048,62.3682,4622,10762,13139,2.7140864452953126,-2377,-1621,289105.5,-0.0056069497121293,6.22
2017,大同,51564,129943,0.9532663920873042,5.6815,22754,6313,7451,2.520033356605384,-1138,-665,129610.5,-0.0051307571531627,6.23
2017,大安,120529,311404,0.8776470020741884,11.3614,27283,16253,18244,2.583643770378913,-1991,-1435,310686.5,-0.0046188038424585,5.39
2017,平溪,2328,4776,1.231775700934579,71.3382,66,10,7,2.051546391752577,3,-57,4747.5,-0.0120063191153238,2.105928188
2017,文山,105011,275233,0.923670471144908,31.509,8709,11369,13075,2.6209920865433145,-1706,-809,274828.5,-0.0029436539514642,5.62
2017,新店,125299,301305,0.93062550459421,120.2255,2513,1078,975,2.4046879863366826,103,784,301697.0,0.0025986337285422,5.75542430506401
2017,新莊,150819,414227,0.9559953346271716,19.7383,21102,1200,1101,2.746517348609923,99,2297,415375.5,0.0055299361661917,6.56811287138248
2017,松山,80325,208289,0.8875134797147285,9.2878,22286,10168,11911,2.593078120136944,-1743,-1301,207638.5,-0.0062656973538144,5.16
2017,板橋,206836,552220,0.9552247789741284,23.1373,23835,1326,1499,2.669844707884508,-173,-740,551850.0,-0.0013409440971278,6.33286976847427
2017,林口,40638,103458,0.9503449835991404,54.1519,1959,489,329,2.545843791525173,160,2643,104779.5,0.0252243998110317,6.81253583
2017,樹林,66078,184409,0.9970435667796536,33.1288,5559,597,599,2.7907775659069585,-2,-260,184279.0,-0.001410904118212,6.45233062632106
